StockKeyLabel,Ecoregion
agn.27.nea,Widely
alf.27.nea,Widely
ane.27.8,BoBiscay & Iberia
ane.27.9a,BoBiscay & Iberia
anf.27.3a46,Greater North Sea
ank.27.78abd,BoBiscay & Iberia
ank.27.8c9a,BoBiscay & Iberia
aru.27.123a4,Arctic Ocean
aru.27.5a14,Iceland
aru.27.5b6a,Iceland
aru.27.6b7-1012,Widely
bli.27.5a14,Iceland
bli.27.5b67,Widely
bli.27.nea,Widely
bll.27.22-32,Baltic Sea
bll.27.3a47de,Greater North Sea
boc.27.6-8,Widely
bsf.27.nea,Widely
bsk.27.nea,Widely
bss.27.4bc7ad-h,Celtic Seas
bss.27.6a7bj,Celtic Seas
bss.27.8ab,BoBiscay & Iberia
bss.27.8c9a,BoBiscay & Iberia
cap.27.1-2,Arctic Ocean
cap.27.2a514,Iceland
cod.21.1,Iceland
cod.21.1a-e,Iceland
cod.2127.1f14,Iceland
cod.27.1-2,Arctic Ocean
cod.27.1-2.coastN,Arctic Ocean
cod.27.2.coastS,Arctic Ocean
cod.27.21,Greater North Sea
cod.27.22-24,Baltic Sea
cod.27.24-32,Baltic Sea
cod.27.46a7d20,Greater North Sea
cod.27.47d20,Greater North Sea
cod.27.5a,Iceland
cod.27.5b1,Iceland
cod.27.5b2,Iceland
cod.27.6a,Celtic Seas
cod.27.6b,Celtic Seas
cod.27.7a,Celtic Seas
cod.27.7e-k,Celtic Seas
cyo.27.nea,Widely
dab.27.22-32,Baltic Sea
dab.27.3a4,Greater North Sea
dgs.27.nea,Widely
ele.2737.nea,Widely
fle.27.2223,Baltic Sea
bzq.27.2425,Baltic Sea
bzq.27.2628,Baltic Sea
bwp.27.2729-32,Baltic Sea
fle.27.3a4,Greater North Sea
gag.27.nea,Widely
gfb.27.nea,Widely
ghl.27.1-2,Arctic Ocean
ghl.27.561214,Iceland
gug.27.3a47d,Greater North Sea
guq.27.nea,Widely
gur.27.3-8,Widely
had.27.1-2,Arctic Ocean
had.27.46a20,Greater North Sea
had.27.5a,Iceland
had.27.5b,Iceland
had.27.6b,Celtic Seas
had.27.7a,Celtic Seas
had.27.7b-k,Celtic Seas
her.27.1-24a514a,Widely
her.27.20-24,Baltic Sea
her.27.25-2932,Baltic Sea
her.27.28,Baltic Sea
her.27.3031,Baltic Sea
her.27.3a47d,Greater North Sea
her.27.5a,Iceland
her.27.6aS7bc,Celtic Seas
her.27.6aN,Celtic Seas
her.27.irls,Celtic Seas
her.27.nirs,Celtic Seas
hke.27.3a46-8abd,Widely
hke.27.8c9a,BoBiscay & Iberia
hom.27.2a4a5b6a7a-ce-k8,Widely
hom.27.3a4bc7d,Greater North Sea
hom.27.9a,BoBiscay & Iberia
jaa.27.10a2,Azores
ldb.27.7b-k8abd,BoBiscay & Iberia
ldb.27.8c9a,BoBiscay & Iberia
lem.27.3a47d,Greater North Sea
lez.27.4a6a,Celtic Seas
lez.27.6b,Celtic Seas
lin.27.1-2,Arctic Ocean
lin.27.346-91214,Widely
lin.27.5a,Iceland
lin.27.5b,Iceland
mac.27.nea,Widely
meg.27.7b-k8abd,BoBiscay & Iberia
meg.27.8c9a,BoBiscay & Iberia
mon.27.78abd,BoBiscay & Iberia
mon.27.8c9a,BoBiscay & Iberia
mur.27.3a47d,Greater North Sea
mur.27.67a-ce-k89a,BoBiscay & Iberia
nep.27.4outFU,Greater North Sea
nep.27.6aoutFU,Celtic Seas
nep.27.7outFU,Celtic Seas
nep.fu.10,Celtic Seas
nep.fu.11,Celtic Seas
nep.fu.12,Celtic Seas
nep.fu.13,Celtic Seas
nep.fu.14,Celtic Seas
nep.fu.15,Celtic Seas
nep.fu.16,Celtic Seas
nep.fu.17,Celtic Seas
nep.fu.19,Celtic Seas
nep.fu.2021,Celtic Seas
nep.fu.22,Celtic Seas
nep.fu.2324,BoBiscay & Iberia
nep.fu.25,BoBiscay & Iberia
nep.fu.2627,BoBiscay & Iberia
nep.fu.2829,BoBiscay & Iberia
nep.fu.3-4,Greater North Sea
nep.fu.30,BoBiscay & Iberia
nep.fu.31,BoBiscay & Iberia
nep.fu.32,Greater North Sea
nep.fu.33,Greater North Sea
nep.fu.34,Greater North Sea
nep.fu.5,Greater North Sea
nep.fu.6,Greater North Sea
nep.fu.7,Greater North Sea
nep.fu.8,Greater North Sea
nep.fu.9,Greater North Sea
nop.27.3a4,Greater North Sea
nop.27.6a,Celtic Seas
ory.27.nea,Widely
pil.27.7,Celtic Seas
pil.27.8abd,BoBiscay & Iberia
pil.27.8c9a,BoBiscay & Iberia
ple.27.21-23,Baltic Sea
ple.27.24-32,Baltic Sea
ple.27.420,Greater North Sea
ple.27.7a,Celtic Seas
ple.27.7bc,Celtic Seas
ple.27.7d,Greater North Sea
ple.27.7e,Celtic Seas
ple.27.7fg,Celtic Seas
ple.27.7h-k,Celtic Seas
ple.27.89a,BoBiscay & Iberia
pok.27.1-2,Arctic Ocean
pok.27.3a46,Greater North Sea
pok.27.5a,Iceland
pok.27.5b,Iceland
pol.27.3a4,Greater North Sea
pol.27.67,Celtic Seas
pol.27.89a,BoBiscay & Iberia
por.27.nea,Widely
pra.27.1-2,Arctic Ocean
pra.27.3a4a,Greater North Sea
pra.27.4a,Greater North Sea
raj.27.1012,Azores
raj.27.3a47d,Greater North Sea
raj.27.89a,BoBiscay & Iberia
reb.2127.dp,Iceland
reb.2127.sp,Iceland
reb.27.1-2,Arctic Ocean
reb.27.14b,Iceland
reb.27.5a14,Iceland
reg.27.1-2,Arctic Ocean
reg.27.561214,Iceland
rhg.27.nea,Widely
rja.27.nea,Widely
rjb.27.3a4,Greater North Sea
rjb.27.67a-ce-k,Celtic Seas
rjb.27.89a,BoBiscay & Iberia
rjc.27.3a47d,Greater North Sea
rjc.27.6,Celtic Seas
rjc.27.7afg,Celtic Seas
rjc.27.7e,Celtic Seas
rjc.27.8abd,BoBiscay & Iberia
rjc.27.8c,BoBiscay & Iberia
rjc.27.9a,BoBiscay & Iberia
rje.27.7de,Greater North Sea
rje.27.7fg,Celtic Seas
rjf.27.67,Celtic Seas
