tblCodeID,Code,Rel_tblCodeID,Rel_Code,Rel_Codedesc,Rel_tblCodeTypeID,Rel_CodeType,"tblCodeID	Code	Rel_tblCodeID	Rel_Code	Rel_Codedesc	Rel_tblCodeTypeID	Rel_CodeType",,,,,,
169047,agn.27.nea,136755,27.3.d.29,Archipelago Sea,358,ICES_Area                     ,"169047	agn.27.nea	136755	27.3.d.29	Archipelago Sea	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136801,27.10.a.1,Azores Grounds - Parts of the NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136801	27.10.a.1	Azores Grounds - Parts of the NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136802,27.10.a.2,Azores Grounds Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136802	27.10.a.2	Azores Grounds Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136751,27.3.d.24,Baltic West of Bornholm,358,ICES_Area                     ,"169047	agn.27.nea	136751	27.3.d.24	Baltic West of Bornholm	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136761,27.1.a,Barents Sea - NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136761	27.1.a	Barents Sea - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136762,27.1.b,Barents Sea - Non NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136762	27.1.b	Barents Sea - Non NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136791,27.8.b,Bay of Biscay - Central,358,ICES_Area                     ,"169047	agn.27.nea	136791	27.8.b	Bay of Biscay - Central	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136790,27.8.a,Bay of Biscay - North,358,ICES_Area                     ,"169047	agn.27.nea	136790	27.8.a	Bay of Biscay - North	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136793,27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136793	27.8.d.1	Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136794,27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136794	27.8.d.2	Bay of Biscay - Offshore Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136792,27.8.c,Bay of Biscay - South,358,ICES_Area                     ,"169047	agn.27.nea	136792	27.8.c	Bay of Biscay - South	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136749,27.3.c.22,Belt Sea,358,ICES_Area                     ,"169047	agn.27.nea	136749	27.3.c.22	Belt Sea	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136757,27.3.d.31,Bothnian Bay,358,ICES_Area                     ,"169047	agn.27.nea	136757	27.3.d.31	Bothnian Bay	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136756,27.3.d.30,Bothnian Sea,358,ICES_Area                     ,"169047	agn.27.nea	136756	27.3.d.30	Bothnian Sea	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136788,27.7.f,Bristol Channel,358,ICES_Area                     ,"169047	agn.27.nea	136788	27.7.f	Bristol Channel	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136789,27.7.g,Celtic Sea North,358,ICES_Area                     ,"169047	agn.27.nea	136789	27.7.g	Celtic Sea North	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136814,27.7.h,Celtic Sea South,358,ICES_Area                     ,"169047	agn.27.nea	136814	27.7.h	Celtic Sea South	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136769,27.4.b,Central North Sea,358,ICES_Area                     ,"169047	agn.27.nea	136769	27.4.b	Central North Sea	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136809,27.12.c,Central Northeast Atlantic - South,358,ICES_Area                     ,"169047	agn.27.nea	136809	27.12.c	Central Northeast Atlantic - South	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136760,27.3.d.28.2,East of Gotland (open sea),358,ICES_Area                     ,"169047	agn.27.nea	136760	27.3.d.28.2	East of Gotland (open sea)	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136786,27.7.d,Eastern English Channel,358,ICES_Area                     ,"169047	agn.27.nea	136786	27.7.d	Eastern English Channel	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136778,27.5.b.2,Faroe Bank,358,ICES_Area                     ,"169047	agn.27.nea	136778	27.5.b.2	Faroe Bank	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136776,27.5.b.1.a,Faroe Plateau - Part of NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136776	27.5.b.1.a	Faroe Plateau - Part of NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136777,27.5.b.1.b,Faroe Plateau - Part of Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169047	agn.27.nea	136777	27.5.b.1.b	Faroe Plateau - Part of Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136758,27.3.d.32,Gulf of Finland,358,ICES_Area                     ,"169047	agn.27.nea	136758	27.3.d.32	Gulf of Finland	358	ICES_Area                     ",,,,,,
169047,agn.27.nea,136759,27.3.d.28.1,Gulf of Riga,358,ICES_Area                     ,"169047	agn.27.nea	136759	27.3.d.28.1	Gulf of Riga	358	ICES_Area                     ",,,,,,
