EcoRegion,Stock,Area,Year,R,SSB,Landings,F,Method,Assessment_URL,source,Fref_point,stk,Fref,F_Fref,Meeting_comments,Blim,catch,biomass,Scientific_name,Species,Bref,Bref_point,B_Bref,asses_year,version,stk_updated
Central Med.,ARA,18_19_20,2008,41906.73,380.61,206.48,0.269,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,1.305825243,NA,NA,206.48,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2009,47717.61,431.18,239.15,0.369,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,1.791262136,NA,NA,239.15,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2010,54043.17,414.41,228.12,0.446,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,2.165048544,NA,NA,228.12,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2011,49172.29,393.47,184.82,0.489,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,2.373786408,NA,NA,184.82,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2012,39648.12,333.73,267.71,0.55,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,2.669902913,NA,NA,267.71,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2013,31255.16,264.87,247.01,0.644,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,3.126213592,NA,NA,247.01,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2014,29637.35,204.43,302.16,0.671,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,3.257281553,NA,NA,302.16,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2015,32031.74,191.94,89.44,0.555,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,2.694174757,NA,NA,89.44,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2016,48887.45,246.44,119.78,0.411,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,1.995145631,NA,NA,119.78,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
Central Med.,ARA,18_19_20,2017,62858.22,351.72,63.94,0.363,a4a_catch_proj,https://stecf.jrc.ec.europa.eu/ewg2312,STECF,Fmsy,ARA_18_19_20,0.206,1.762135922,NA,NA,63.94,NA,Aristeus antennatus,Blue and red shrimp,NA,NA,NA,2023,NA,Y
