EcoRegion,Stock,Area,Year,R,SSB,Landings,F,Method,Assessment_URL,Meeting,Fref,key,Fref_point,F_Fref,Meeting_comments,Blim,catch,biomass,Scientific_name,Species,Bref_point,Bref,B_Bref,asses_year,version,stk_updated
Western Med.,ANE,6,1945,NA,NA,2654.967,0.06172416,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.088,NA,NA,2654.967,43048.913,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.69554545,2017,16_01_2018,updated
Western Med.,ANE,6,1946,NA,NA,2934.355,0.06079161,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.086,NA,NA,2934.355,48236.383,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.89986165,2017,16_01_2018,updated
Western Med.,ANE,6,1947,NA,NA,3706.581,0.07375336,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.105,NA,NA,3706.581,50250.973,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.97920931,2017,16_01_2018,updated
Western Med.,ANE,6,1948,NA,NA,3326.095,0.0662115,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.094,NA,NA,3326.095,50234.439,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.97855808,2017,16_01_2018,updated
Western Med.,ANE,6,1949,NA,NA,3616.433,0.07156528,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.102,NA,NA,3616.433,50527.621,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.99010548,2017,16_01_2018,updated
Western Med.,ANE,6,1950,NA,NA,4465.794,0.08822287,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.125,NA,NA,4465.794,50621.92,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.9938196,2017,16_01_2018,updated
Western Med.,ANE,6,1951,NA,NA,4247.314,0.08454478,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.12,NA,NA,4247.314,50235.681,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.978607,2017,16_01_2018,updated
Western Med.,ANE,6,1952,NA,NA,3544.033,0.07054507,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.1,NA,NA,3544.033,50237.999,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.9786983,2017,16_01_2018,updated
Western Med.,ANE,6,1953,NA,NA,2766.528,0.0549231,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.078,NA,NA,2766.528,50374.397,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,1.98407052,2017,16_01_2018,updated
Western Med.,ANE,6,1954,NA,NA,3047.957,0.05974469,SPICT,https://stecf.jrc.ec.europa.eu/documents/43805/1674827/STECF+17-15+-+Med+stock+assessments+2017_p1.pdf,EWG17_09,Fmsy,ANE_6_EWG17_09,0.7037,0.085,NA,NA,3047.957,51010.251,Engraulis encrasicolus,European anchovy,25476.79,Bmsy,2.00911457,2017,16_01_2018,updated
