Areaw,Area,Assessment Url,Asses Year,Biomass,Bref,Bref Point,B Bref,Catch,Common Name,DOWNLOAD URL DUMMY,LOGTC,LOGSSB,LOGR,Fref,Fref Point,F,F Division,F Divname,F Fmsy,F Gsa Lib,F Subarea,F Subname,ID,Landings,Meeting,Method,Number of Records,R,Scientific Name,Smu Name,SSB,Status,Stock Long,Stockid,Stock,TC,Version,Year
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,3268,3511,769730,0.4519,F0.1,2.7351,37.1.1,Balearic,6.052445231,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2002,3268,10-05_SG-MED 10-02,XSA,1,769730,Engraulis encrasicolus,Northern Alboran Sea,3511,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,3268,10_05_2017,2002
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,245,904,186154,0.4519,F0.1,0.2948,37.1.1,Balearic,0.652356716,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2003,245,10-05_SG-MED 10-02,XSA,1,186154,Engraulis encrasicolus,Northern Alboran Sea,904,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,245,10_05_2017,2003
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,746,1697,188040,0.4519,F0.1,0.6607,37.1.1,Balearic,1.462049126,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2004,746,10-05_SG-MED 10-02,XSA,1,188040,Engraulis encrasicolus,Northern Alboran Sea,1697,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,746,10_05_2017,2004
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,518,1433,110016,0.4519,F0.1,0.4953,37.1.1,Balearic,1.096038947,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2005,518,10-05_SG-MED 10-02,XSA,1,110016,Engraulis encrasicolus,Northern Alboran Sea,1433,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,518,10_05_2017,2005
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,637,1101,60968,0.4519,F0.1,1.1685,37.1.1,Balearic,2.585749059,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2006,637,10-05_SG-MED 10-02,XSA,1,60968,Engraulis encrasicolus,Northern Alboran Sea,1101,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,637,10_05_2017,2006
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,245,420,47110,0.4519,F0.1,0.8842,37.1.1,Balearic,1.956627572,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2007,245,10-05_SG-MED 10-02,XSA,1,47110,Engraulis encrasicolus,Northern Alboran Sea,420,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,245,10_05_2017,2007
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,178,325,26143,0.4519,F0.1,1.2204,37.1.1,Balearic,2.700597477,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2008,178,10-05_SG-MED 10-02,XSA,1,26143,Engraulis encrasicolus,Northern Alboran Sea,325,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,178,10_05_2017,2008
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,2010,,,NA,,,European anchovy,STATUS,292,526,155679,0.4519,F0.1,1.051,37.1.1,Balearic,2.325735782,GSA1,37.1,Western Mediterranean,ANE_1_10-05_SG-MED 10-02_2009,292,10-05_SG-MED 10-02,XSA,1,155679,Engraulis encrasicolus,Northern Alboran Sea,526,OVERFISHING,European anchovy in SA 01,ANE_1_10-05_SG-MED 10-02,ANE,292,10_05_2017,2009
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1607,,NA,,157,Blue and red shrimp,STATUS,157,248.81,281490,0.42,F0.1,0.63311,37.1.1,Balearic,1.507404762,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2002,157,EWG18_12,a4a,1,281490,Aristeus antennatus,Northern Alboran Sea,248.81,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,157,24_01_2019,2002
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1483,,NA,,336,Blue and red shrimp,STATUS,336,220.23,227170,0.42,F0.1,1.22594,37.1.1,Balearic,2.918904762,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2003,336,EWG18_12,a4a,1,227170,Aristeus antennatus,Northern Alboran Sea,220.23,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,336,24_01_2019,2003
