Stockid,Status,Assessment Url,DOWNLOAD URL DUMMY,Meeting,Method,Stock Long,Common Name,F Gsa Lib,F Subname,Area,Areaw,Asses Year,Bref,F Division,F Divname,F Subarea,Fref,ID,Scientific Name,Smu Name,Stock,Version,Year,B Bref,Biomass,Bref Point,Catch,F,F Fref,Fref Point,Landings,LOGR,LOGSSB,LOGTC,Number of Records,R,SSB,TC
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2002,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2002,,,,,"2,7351","6,052","0,4519",3268,769730,3511,3268,1,769730,3511,3268
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2003,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2003,,,,,"0,2948","0,652","0,4519",245,186154,904,245,1,186154,904,245
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2004,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2004,,,,,"0,6607","1,462","0,4519",746,188040,1697,746,1,188040,1697,746
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2005,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2005,,,,,"0,4953","1,096","0,4519",518,110016,1433,518,1,110016,1433,518
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2006,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2006,,,,,"1,1685","2,586","0,4519",637,60968,1101,637,1,60968,1101,637
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2007,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2007,,,,,"0,8842","1,957","0,4519",245,47110,420,245,1,47110,420,245
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2008,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2008,,,,,"1,2204","2,701","0,4519",178,26143,325,178,1,26143,325,178
ANE_1_10-05_SG-MED 10-02,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,STATUS,10-05_SG-MED 10-02,XSA,European anchovy in SA 1,European anchovy,GSA1,Western Mediterranean,1,SA 1,2010,,37.1.1,Balearic,37.1,F0.1,ANE_1_10-05_SG-MED 10-02_2009,Engraulis encrasicolus,Northern Alboran Sea,ANE,10_05_2017,2009,,,,,"1,051","2,326","0,4519",292,155679,526,292,1,155679,526,292
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2002,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2002,,,,158,"0,852","1,521","0,56",,415694,165,158,1,415694,165,158
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2003,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2003,,,,328,"1,592","2,843","0,56",,303739,146,328,1,303739,146,328
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2004,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2004,,,,199,"1,377","2,459","0,56",,464287,109,199,1,464287,109,199
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2005,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2005,,,,245,"1,549","2,766","0,56",,408243,131,245,1,408243,131,245
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2006,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2006,,,,240,"1,484","2,65","0,56",,263960,130,240,1,263960,130,240
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2007,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2007,,,,172,"1,08","1,929","0,56",,215496,125,172,1,215496,125,172
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2008,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2008,,,,133,"0,853","1,523","0,56",,240670,123,133,1,240670,123,133
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2009,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2009,,,,144,"0,92","1,643","0,56",,213130,125,144,1,213130,125,144
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2010,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2010,,,,162,"1,158","2,068","0,56",,244678,113,162,1,244678,113,162
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2011,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2011,,,,134,"1,001","1,788","0,56",,231094,115,134,1,231094,115,134
ARA_1_EWG19_10,OVERFISHING,https://stecf.jrc.ec.europa.eu/documents/43805/2554024/STECF+19-10+-+MED+stock+assess_part+1.pdf/ddc5a372-9a61-44b9-ae56-666dff82c5cd,STATUS,EWG19_10,a4a,Blue and red shrimp in SA 1,Blue and red shrimp,GSA1,Western Mediterranean,1,SA 1,2019,,37.1.1,Balearic,37.1,F0.1,ARA_1_EWG19_10_2012,Aristeus antennatus,Northern Alboran Sea,ARA,2019_12_18,2012,,,,158,"1,183","2,113","0,56",,305428,110,158,1,305428,110,158
