StockKeyLabel,ICES_Area
agn-nea,27.3.d.29
alf-comb,27.3.d.29
arg-comb,27.3.d.29
bli-comb,27.3.d.29
bll-2232,27.3.d.29
bsh-nea,27.3.d.29
bsf-comb,27.3.d.29
bsk-nea,27.3.d.29
bss-comb,27.3.d.29
cod-2532,27.3.d.29
cyo-nea,27.3.d.29
czs-comb,27.3.d.29
dab-2232,27.3.d.29
dgs-nea,27.3.d.29
ele-nea,27.3.d.29
fle-2232,27.3.d.29
gag-nea,27.3.d.29
gfb-comb,27.3.d.29
gug-comb,27.3.d.29
guq-nea,27.3.d.29
her-2532-gor,27.3.d.29
lin-comb,27.3.d.29
mac-nea,27.3.d.29
mut-comb,27.3.d.29
ory-comb,27.3.d.29
ple-2432,27.3.d.29
por-nea,27.3.d.29
rng-comb,27.3.d.29
sal-2431,27.3.d.29
sbr-comb,27.3.d.29
sck-nea,27.3.d.29
sma-nea,27.3.d.29
spr-2232,27.3.d.29
trk-nea,27.3.d.29
trt-bal,27.3.d.29
tur-2232,27.3.d.29
whb-comb,27.3.d.29
cod-2532-alt,27.3.d.29
her-2832,27.3.d.29
her-2532,27.3.d.29
whb-comb-alt,27.3.d.29
usk-comb,27.3.d.29
fle-2732,27.3.d.29
rja-nea,27.3.d.29
gur-comb,27.3.d.29
agn.27.nea,27.3.d.29
alf.27.nea,27.3.d.29
bll.27.22-32,27.3.d.29
bsk.27.nea,27.3.d.29
cod.27.24-32,27.3.d.29
cyo.27.nea,27.3.d.29
dab.27.22-32,27.3.d.29
dgs.27.nea,27.3.d.29
fle.27.2729-32,27.3.d.29
gag.27.nea,27.3.d.29
gfb.27.nea,27.3.d.29
guq.27.nea,27.3.d.29
gur.27.3-8,27.3.d.29
her.27.25-2932,27.3.d.29
mac.27.nea,27.3.d.29
ory.27.nea,27.3.d.29
ple.27.24-32,27.3.d.29
por.27.nea,27.3.d.29
rja.27.nea,27.3.d.29
sal.27.22-31,27.3.d.29
sck.27.nea,27.3.d.29
spr.27.22-32,27.3.d.29
sdv.27.nea,27.3.d.29
trs.27.22-32,27.3.d.29
tur.27.22-32,27.3.d.29
whb.27.1-91214,27.3.d.29
her-2829S,27.3.d.29
her-293031W,27.3.d.29
her-2930E,27.3.d.29
bwp.27.2729-32,27.3.d.29
pok.27.7-10,27.10.a
agn-nea,27.10.a.1
alf-comb,27.10.a.1
arg-comb,27.10.a.1
arg-oth,27.10.a.1
bli-comb,27.10.a.1
bsh-nea,27.10.a.1
bsf-comb,27.10.a.1
bsf-oth,27.10.a.1
bsk-nea,27.10.a.1
bss-comb,27.10.a.1
cyo-nea,27.10.a.1
czs-comb,27.10.a.1
dgs-nea,27.10.a.1
ele-nea,27.10.a.1
gag-nea,27.10.a.1
gfb-comb,27.10.a.1
gug-comb,27.10.a.1
guq-nea,27.10.a.1
lin-comb,27.10.a.1
mut-comb,27.10.a.1
ory-comb,27.10.a.1
por-nea,27.10.a.1
raj-mar,27.10.a.1
rng-comb,27.10.a.1
sal-nea,27.10.a.1
sbr-comb,27.10.a.1
sbr-x,27.10.a.1
sck-nea,27.10.a.1
sma-nea,27.10.a.1
trk-nea,27.10.a.1
usk-comb,27.10.a.1
rja-nea,27.10.a.1
bsf-nea,27.10.a.1
qsc-nea,27.10.a.1
scx-nea,27.10.a.1
thr-nea,27.10.a.1
rsg-nea,27.10.a.1
rhg-nea,27.10.a.1
arg-rest,27.10.a.1
tsu-nea,27.10.a.1
agn.27.nea,27.10.a.1
alf.27.nea,27.10.a.1
aru.27.6b7-1012,27.10.a.1
bsf.27.nea,27.10.a.1
bsk.27.nea,27.10.a.1
cyo.27.nea,27.10.a.1
dgs.27.nea,27.10.a.1
gag.27.nea,27.10.a.1
gfb.27.nea,27.10.a.1
guq.27.nea,27.10.a.1
ory.27.nea,27.10.a.1
por.27.nea,27.10.a.1
raj.27.1012,27.10.a.1
rhg.27.nea,27.10.a.1
rja.27.nea,27.10.a.1
sbr.27.10,27.10.a.1
sck.27.nea,27.10.a.1
thr.27.nea,27.10.a.1
sdv.27.nea,27.10.a.1
tsu.27.nea,27.10.a.1
oct.27.10a,27.10.a.1
pok.27.7-10,27.10.a.1
pok.27.7-10,27.1
agn-nea,27.10.a.2
alf-comb,27.10.a.2
arg-comb,27.10.a.2
arg-oth,27.10.a.2
bli-comb,27.10.a.2
bsh-nea,27.10.a.2
bsf-comb,27.10.a.2
bsf-oth,27.10.a.2
bsk-nea,27.10.a.2
bss-comb,27.10.a.2
cyo-nea,27.10.a.2
czs-comb,27.10.a.2
dgs-nea,27.10.a.2
ele-nea,27.10.a.2
gag-nea,27.10.a.2
gfb-comb,27.10.a.2
gug-comb,27.10.a.2
guq-nea,27.10.a.2
jaa-10,27.10.a.2
lin-comb,27.10.a.2
mut-comb,27.10.a.2
ory-comb,27.10.a.2
por-nea,27.10.a.2
raj-mar,27.10.a.2
rng-comb,27.10.a.2
sal-nea,27.10.a.2
sbr-comb,27.10.a.2
sbr-x,27.10.a.2
sck-nea,27.10.a.2
sma-nea,27.10.a.2
trk-nea,27.10.a.2
usk-comb,27.10.a.2
rja-nea,27.10.a.2
bsf-nea,27.10.a.2
qsc-nea,27.10.a.2
scx-nea,27.10.a.2
rsg-nea,27.10.a.2
rhg-nea,27.10.a.2
arg-rest,27.10.a.2
tsu-nea,27.10.a.2
agn.27.nea,27.10.a.2
alf.27.nea,27.10.a.2
aru.27.6b7-1012,27.10.a.2
bsf.27.nea,27.10.a.2
bsk.27.nea,27.10.a.2
cyo.27.nea,27.10.a.2
dgs.27.nea,27.10.a.2
gag.27.nea,27.10.a.2
gfb.27.nea,27.10.a.2
guq.27.nea,27.10.a.2
jaa.27.10a2,27.10.a.2
ory.27.nea,27.10.a.2
por.27.nea,27.10.a.2
raj.27.1012,27.10.a.2
rhg.27.nea,27.10.a.2
rja.27.nea,27.10.a.2
sbr.27.10,27.10.a.2
sck.27.nea,27.10.a.2
sdv.27.nea,27.10.a.2
tsu.27.nea,27.10.a.2
oct.27.10a,27.10.a.2
pok.27.7-10,27.10.a.2
agn-nea,27.3.d.24
alf-comb,27.3.d.24
arg-comb,27.3.d.24
bli-comb,27.3.d.24
bll-2232,27.3.d.24
bsh-nea,27.3.d.24
bsf-comb,27.3.d.24
bsk-nea,27.3.d.24
bss-comb,27.3.d.24
cod-2224,27.3.d.24
cyo-nea,27.3.d.24
czs-comb,27.3.d.24
dab-2232,27.3.d.24
dgs-nea,27.3.d.24
ele-nea,27.3.d.24
fle-2232,27.3.d.24
gag-nea,27.3.d.24
gfb-comb,27.3.d.24
gug-comb,27.3.d.24
guq-nea,27.3.d.24
her-3a22,27.3.d.24
lin-comb,27.3.d.24
mac-nea,27.3.d.24
mut-comb,27.3.d.24
ory-comb,27.3.d.24
