Year,StockKeyLabel,F,SSB,FishingPressureDescription,StockSizeDescription,Landings,Catches,Discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Ecoregion,landings
1974,agn.27.nea,NA,NA,F,SSB,3,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2022,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1984,agn.27.nea,NA,NA,F,SSB,9,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1985,agn.27.nea,NA,NA,F,SSB,13,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2021,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1973,agn.27.nea,NA,NA,F,SSB,8,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1995,agn.27.nea,NA,NA,F,SSB,2,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1975,agn.27.nea,NA,NA,F,SSB,32,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1976,agn.27.nea,NA,NA,F,SSB,26,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1983,agn.27.nea,NA,NA,F,SSB,13,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2018,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2019,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2020,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1993,agn.27.nea,NA,NA,F,SSB,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1994,agn.27.nea,NA,NA,F,SSB,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2008,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1996,agn.27.nea,NA,NA,F,SSB,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1997,agn.27.nea,NA,NA,F,SSB,2,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1977,agn.27.nea,NA,NA,F,SSB,29,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1978,agn.27.nea,NA,NA,F,SSB,24,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1979,agn.27.nea,NA,NA,F,SSB,19,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1980,agn.27.nea,NA,NA,F,SSB,19,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1981,agn.27.nea,NA,NA,F,SSB,20,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1982,agn.27.nea,NA,NA,F,SSB,18,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1991,agn.27.nea,NA,NA,F,SSB,2,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1992,agn.27.nea,NA,NA,F,SSB,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2006,agn.27.nea,NA,NA,F,SSB,0,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2007,agn.27.nea,NA,NA,F,SSB,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
1986,agn.27.nea,NA,NA,F,SSB,14,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2009,agn.27.nea,NA,NA,F,SSB,2,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
2010,agn.27.nea,NA,NA,F,SSB,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Widely,NA
